,open,high,low,close,volume
2020-01-02,119.83,119.83,117.46,117.93,1453093
2020-01-03,117.71,118.84,117.41,118.73,1422920
2020-01-06,118.99,119.89,118.6,119.15,1527106
2020-01-07,118.63,119.59,118.3,119.13,1026521
2020-01-08,119.56,119.59,118.69,118.96,844982
2020-01-09,118.86,120.29,118.56,120.26,819557
2020-01-10,120.58,121.24,120.38,120.61,1058121
2020-01-13,120.59,122.18,120.59,121.52,1917527
2020-01-14,121.44,121.88,120.63,121.58,1127503
2020-01-15,122.05,123.92,121.83,123.74,1235386
2020-01-16,123.84,124.99,123.73,124.95,1130048
2020-01-17,125.09,126.43,124.92,126.31,1054148
2020-01-21,126.44,127.43,125.99,127.36,1110816
2020-01-22,128.0,128.48,127.42,127.89,895866
2020-01-23,127.9,130.03,127.57,129.95,1278332
2020-01-24,129.8,131.19,129.78,130.73,874994
2020-01-27,130.67,131.49,129.08,129.55,1134885
2020-01-28,129.63,130.26,128.71,129.99,1165352
2020-01-29,130.13,130.75,129.42,130.55,885303
2020-01-30,130.5,131.79,130.02,131.72,769653
2020-01-31,131.7,132.02,130.67,131.52,2408274
2020-02-03,131.91,132.39,131.45,132.19,813358
2020-02-04,132.14,132.88,130.42,130.56,953595
2020-02-05,130.37,131.495,130.0788,130.56,1361349
2020-02-06,130.63,131.68,130.62,131.41,1127336
2020-02-07,131.8,132.57,131.7,131.94,1371634
2020-02-10,132.14,132.93,131.7,132.89,696716
2020-02-11,133.07,133.83,132.58,132.89,1035259
2020-02-12,131.28,132.19,130.56,131.56,915702
2020-02-13,131.67,133.5,131.18,133.24,738361
2020-02-14,133.64,134.49,133.08,134.13,1639020
2020-02-18,134.71,135.46,133.85,134.78,1455244
2020-02-19,135.0,135.55,132.9,133.09,1633132
2020-02-20,133.02,133.08,130.84,131.45,1933666
2020-02-21,131.37,132.09,129.78,129.96,2846272
2020-02-24,129.77,131.08,129.27,129.74,1559604
2020-02-25,129.84,130.0,125.79,126.3,1599175
2020-02-26,126.26,127.22,125.6,125.65,1529870
2020-02-27,125.29,125.49,120.69,120.8,2553800
2020-02-28,118.78,118.78,113.89,116.91,2735526
2020-03-02,117.4,124.38,116.9,124.12,1950888
2020-03-03,124.48,126.74,121.09,121.89,1980000
2020-03-04,123.61,128.75,123.61,128.36,1505994
2020-03-05,126.05,128.16,124.43,127.46,2199969
2020-03-06,123.96,125.0,120.45,124.28,1877638
2020-03-09,118.18,118.92,114.01,115.4,3271658
2020-03-10,117.36,119.57,113.66,119.29,2819893
