,open,high,low,close,volume
2020-01-02,90.03,90.79,89.27,90.78,758392
2020-01-03,89.34,89.57,88.55,89.22,553624
2020-01-06,88.36,89.09,87.82,88.86,551353
2020-01-07,88.86,90.28,88.79,89.8,671762
2020-01-08,89.95,91.74,89.69,91.55,1009149
2020-01-09,92.49,93.02,92.2,92.85,687272
2020-01-10,92.87,93.0,92.28,92.88,721549
2020-01-13,93.33,94.1,92.9,93.84,924183
2020-01-14,93.89,94.52,93.54,93.95,1105979
2020-01-15,93.18,94.15,92.95,93.57,1053934
2020-01-16,94.25,95.78,94.25,95.38,1250091
2020-01-17,95.76,96.5,95.46,96.27,2307346
2020-01-21,95.5,97.19,95.38,96.64,1471207
2020-01-22,96.49,97.66,96.49,97.24,1264925
2020-01-23,92.26,92.26,89.25,91.24,2723595
2020-01-24,91.0,91.58,89.88,90.42,1574668
2020-01-27,88.4,90.25,88.36,89.55,942178
2020-01-28,90.29,91.17,89.74,90.92,969977
2020-01-29,91.41,91.57,90.42,90.44,640427
2020-01-30,89.58,92.88,89.58,92.84,691552
2020-01-31,91.94,92.12,90.12,91.43,1056222
2020-02-03,91.94,93.04,91.8,91.96,936361
2020-02-04,93.58,94.74,93.42,94.14,681354
2020-02-05,95.47,96.44,95.23,95.87,1021852
2020-02-06,96.71,96.71,94.05,94.41,517531
2020-02-07,93.64,94.36,93.16,94.05,481258
2020-02-10,93.56,94.25,93.19,94.23,565625
2020-02-11,94.83,96.69,94.77,96.5,670262
2020-02-12,97.25,97.74,96.59,97.26,542426
2020-02-13,96.71,98.77,96.2,98.76,1359968
2020-02-14,98.49,99.51,98.41,98.95,1118069
2020-02-18,98.62,99.47,98.32,99.43,1174660
2020-02-19,99.8,101.45,99.49,101.26,1119401
2020-02-20,101.22,102.45,100.34,101.26,1022222
2020-02-21,100.34,100.75,97.13,97.61,1184618
2020-02-24,94.28,94.85,92.44,93.75,1248024
2020-02-25,94.15,94.15,90.88,90.94,1395752
2020-02-26,91.61,92.78,90.03,90.03,1361521
2020-02-27,87.75,89.99,86.06,86.18,1411187
2020-02-28,83.08,86.17,81.55,83.63,1925321
2020-03-02,84.17,87.18,82.59,87.14,1709559
2020-03-03,86.7,88.3,79.96,80.23,2244178
2020-03-04,79.68,79.82,75.93,79.79,3143642
2020-03-05,77.16,77.62,73.83,74.69,2261309
2020-03-06,71.51,74.21,70.25,73.6,2517844
2020-03-09,66.19,68.23,60.05,65.07,2290746
2020-03-10,68.07,72.42,65.19,72.06,2230395
2020-03-11,69.75,70.32,65.74,67.46,1796788
2020-03-12,62.35,63.68,58.79,60.81,2067096
2020-03-13,65.65,72.52,64.0,72.33,2892924
2020-03-16,59.94,70.72,59.94,66.6,2583896
2020-03-17,68.39,76.53,66.2,76.52,2626070
2020-03-18,70.5,75.59,66.05,71.92,3326388
2020-03-19,70.74,73.11,66.06,66.86,1869553
2020-03-20,66.27,68.64,61.12,61.42,2127751
2020-03-23,60.61,60.8,54.21,55.1,1781706
2020-03-24,57.6,60.67,54.76,59.42,1405046
2020-03-25,58.73,65.34,56.88,60.78,1468626
2020-03-26,61.22,65.58,60.1,64.67,1448526
2020-03-27,61.5,63.55,60.04,61.65,915454
2020-03-30,61.42,64.73,60.01,64.4,1269640
2020-03-31,63.49,65.03,62.28,63.2,1253174
2020-04-01,59.59,59.95,57.05,58.98,1398128
2020-04-02,58.46,61.97,58.07,59.98,1128836
2020-04-03,59.54,60.67,57.07,57.53,1030997
2020-04-06,60.77,64.85,60.2,64.21,1085146
